,Directory,ExperimentID,ExperimentID_full,ID,Setup,c0,cf,n10,n1f,n20,n2f,path,v0,vf,dropID,Medium,ExperimentID_Init,SteadyState,Comments,mind,dev_cf
83,G:\BackUp_Data\MIS2\20150219\transformed,7,,21,MIS2,0.199720107,0.191135692,9,9,0,0,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_12_concentration.csv,1594.423137,1666.026389,12,2%,E2,,,0.01,22.31334866
84,G:\BackUp_Data\MIS2\20150219\transformed,7,,22,MIS2,0.099227838,0.103897773,0,0,0,0,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_13_concentration.csv,1442.662782,1377.772335,13,2%,E2,,,0.01,-33.51276049
85,G:\BackUp_Data\MIS2\20150219\transformed,7,,23,MIS2,0.101215681,0.105677632,0,0,0,0,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_14_concentration.csv,1481.442646,1418.789801,14,2%,E2,,,0.01,-32.37377639
86,G:\BackUp_Data\MIS2\20150219\transformed,7,,24,MIS2,0.200857632,0.19670539,0,0,,,G:\BackUp_Data\MIS2\20150219\transformed\drop_00_15_concentration.csv,1596.444972,1630.008996,15,2%,E2,,,0.01,25.87756215
87,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,41,MIS2,0.1,0.102082425,,,46,46,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_01_concentration.csv,1309.558832,1289.420418,1,4%,E4,N,,46.01,-25.31448276
88,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,42,MIS2,0.2,0.143812095,46,46,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_02_concentration.csv,812.0844244,1137.822623,2,4%,E4,Y,,0.01,5.215767556
89,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,43,MIS2,0.1,0.129189636,0,0,42,42,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_03_concentration.csv,1332.4759,1034.874887,3,4%,E4,NY,,0.01,-5.482312096
90,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,44,MIS2,0.2,0.148418502,42,42,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_04_concentration.csv,760.0036981,1015.090281,4,4%,E4,NY,,0.01,8.585905848
91,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,45,MIS2,0.1,0.137259713,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_05_concentration.csv,1354.952771,996.9365142,5,4%,E4,NY,,0.01,0.421915541
92,G:\BackUp_Data\MIS2\20150321\transformed,8,E4,46,MIS2,0.2,0.1437873,0,0,0,0,G:\BackUp_Data\MIS2\20150321\transformed\drop_00_06_concentration.csv,824.8591643,1122.460178,6,4%,E4,Y,,0.01,5.197627045
